Date,NTU_12K001_H2S,NTU_12K001_HCL,NTU_AI120201
11/05/2020,0.90,5.00,88.19
12/05/2020,0.90,5.00,87.74
13/05/2020,0.90,5.00,87.60
14/05/2020,0.90,5.00,87.53
15/05/2020,0.90,5.00,86.94
16/05/2020,0.90,5.00,86.75
17/05/2020,0.32,3.06,86.74
18/05/2020,0.00,2.00,86.96
19/05/2020,0.00,2.00,84.36
20/05/2020,0.00,2.00,83.60
21/05/2020,0.00,2.00,84.83
22/05/2020,0.00,2.00,86.51
23/05/2020,0.00,2.00,86.83
24/05/2020,0.58,2.00,87.11
25/05/2020,0.90,2.00,87.33
26/05/2020,0.90,2.00,87.12
27/05/2020,0.90,2.00,86.99
28/05/2020,0.90,2.00,87.56
29/05/2020,0.90,2.00,87.44
30/05/2020,0.90,2.00,88.35
31/05/2020,0.90,2.65,87.10
01/06/2020,0.90,3.00,86.92
02/06/2020,0.90,3.00,87.12
03/06/2020,0.90,3.00,87.75
04/06/2020,0.90,3.00,87.44
05/06/2020,0.90,3.00,86.48
06/06/2020,0.90,3.00,84.59
07/06/2020,0.96,4.29,84.40
08/06/2020,1.00,5.00,83.99
09/06/2020,1.00,5.00,84.44
10/06/2020,1.00,5.00,87.41
11/06/2020,1.00,5.00,88.66
12/06/2020,1.00,5.00,88.47
13/06/2020,1.00,5.00,88.05
14/06/2020,0.94,5.00,88.39
15/06/2020,0.90,5.00,87.88
16/06/2020,0.90,5.00,88.08
17/06/2020,0.90,5.00,88.56
18/06/2020,0.90,5.00,88.49
19/06/2020,0.90,5.00,87.41
20/06/2020,0.90,5.00,88.30
21/06/2020,0.90,3.71,87.70
22/06/2020,0.90,3.00,86.97
23/06/2020,0.90,3.00,87.66
24/06/2020,0.90,3.00,87.53
25/06/2020,0.90,3.00,88.44
26/06/2020,0.90,3.00,88.01
27/06/2020,0.90,3.00,87.84
28/06/2020,0.90,1.71,86.65
29/06/2020,0.90,1.00,86.32
30/06/2020,0.90,1.00,85.73
01/07/2020,0.90,1.00,85.41
02/07/2020,0.90,1.00,85.91
03/07/2020,0.90,1.00,87.41
04/07/2020,0.90,1.00,87.24
05/07/2020,0.90,0.94,86.89
06/07/2020,0.90,0.90,87.46
07/07/2020,0.90,0.90,87.65
08/07/2020,0.90,0.90,87.41
09/07/2020,0.90,0.90,87.27
10/07/2020,0.90,0.90,87.24
11/07/2020,0.90,1.38,86.77
12/07/2020,0.64,3.00,85.90
13/07/2020,0.50,3.00,86.13
14/07/2020,0.50,3.00,86.43
15/07/2020,0.50,3.00,86.66
16/07/2020,0.50,3.00,86.46
17/07/2020,0.50,3.00,86.48
18/07/2020,0.50,3.00,85.14
19/07/2020,0.76,3.00,84.97
20/07/2020,0.90,3.00,86.07
21/07/2020,0.90,3.00,87.73
22/07/2020,0.90,3.00,86.58
23/07/2020,0.90,3.00,84.72
24/07/2020,0.90,3.00,84.44
25/07/2020,0.90,3.00,85.95
26/07/2020,0.96,2.35,84.46
27/07/2020,1.00,2.00,85.84
28/07/2020,1.00,2.00,86.70
29/07/2020,1.00,2.00,86.65
30/07/2020,1.00,2.00,85.41
31/07/2020,1.00,2.00,84.92
01/08/2020,1.00,2.00,84.64
02/08/2020,1.00,2.69,84.47
03/08/2020,1.00,5.00,84.34
04/08/2020,1.00,5.00,84.31
05/08/2020,1.00,5.00,86.27
06/08/2020,1.00,5.00,87.48
07/08/2020,1.00,5.00,87.10
08/08/2020,1.00,5.00,86.87
09/08/2020,0.77,4.09,85.68
10/08/2020,0.00,1.00,84.78
11/08/2020,0.00,1.00,88.16
12/08/2020,0.00,1.00,88.68
13/08/2020,0.00,1.00,87.04
14/08/2020,0.00,1.00,87.91
15/08/2020,0.00,1.00,88.34
16/08/2020,0.21,1.23,87.09
17/08/2020,0.90,2.00,85.80
18/08/2020,0.90,2.00,85.97
19/08/2020,0.90,2.00,85.60
20/08/2020,0.90,2.00,86.34
21/08/2020,0.90,2.00,88.08
22/08/2020,0.90,2.00,89.74
23/08/2020,0.90,2.00,89.84
24/08/2020,0.90,2.00,89.14
25/08/2020,0.90,2.00,88.99
26/08/2020,0.90,2.00,88.53
27/08/2020,0.90,2.00,88.06
28/08/2020,0.90,2.00,87.68
29/08/2020,0.90,2.00,87.80
30/08/2020,0.90,2.00,87.84
31/08/2020,0.90,2.00,88.09
01/09/2020,0.90,2.00,87.78
02/09/2020,0.90,2.00,88.05
03/09/2020,0.90,2.00,88.06
04/09/2020,0.90,2.00,89.61
05/09/2020,0.90,2.00,90.63
06/09/2020,0.90,2.00,89.09
07/09/2020,0.90,2.00,88.04
08/09/2020,0.90,2.00,87.60
09/09/2020,0.90,2.00,87.06
10/09/2020,0.90,2.00,88.23
11/09/2020,0.90,2.00,87.45
12/09/2020,0.90,2.00,88.45
13/09/2020,0.90,2.00,87.91
14/09/2020,0.90,2.00,86.55
15/09/2020,0.90,2.00,86.26
16/09/2020,0.90,2.00,86.01
17/09/2020,0.90,2.00,86.07
18/09/2020,0.90,2.00,86.35
19/09/2020,0.90,2.00,88.56
20/09/2020,0.92,2.19,89.52
21/09/2020,1.00,3.00,88.46
22/09/2020,1.00,3.00,87.48
23/09/2020,1.00,3.00,87.96
24/09/2020,1.00,3.00,88.17
25/09/2020,1.00,3.00,88.62
26/09/2020,1.00,3.00,88.02
27/09/2020,1.00,2.96,87.94
28/09/2020,0.90,0.90,87.40
29/09/2020,0.90,0.90,87.42
30/09/2020,0.90,0.90,87.07
01/10/2020,0.90,0.90,87.53
02/10/2020,0.90,0.90,88.77
03/10/2020,0.90,0.90,88.65
04/10/2020,0.90,0.90,87.97
05/10/2020,0.90,0.90,86.84
06/10/2020,0.90,0.90,86.70
07/10/2020,0.90,0.90,87.12
08/10/2020,0.90,0.90,87.35
09/10/2020,0.90,0.90,87.52
10/10/2020,0.90,0.90,87.94
11/10/2020,0.90,0.90,88.11
12/10/2020,0.90,0.90,89.22
13/10/2020,0.90,0.90,90.56
14/10/2020,0.90,0.90,88.74
15/10/2020,0.90,0.90,88.16
16/10/2020,0.90,0.90,87.65
17/10/2020,0.90,0.90,88.06
18/10/2020,0.92,1.38,88.07
19/10/2020,1.00,3.00,87.47
20/10/2020,1.00,3.00,86.65
21/10/2020,1.00,3.00,86.42
22/10/2020,1.00,3.00,88.00
23/10/2020,1.00,3.00,88.40
24/10/2020,1.00,3.00,88.97
25/10/2020,1.00,3.69,88.38
26/10/2020,1.00,6.00,86.95
27/10/2020,1.00,6.00,86.46
28/10/2020,1.00,6.00,87.00
29/10/2020,1.00,6.00,86.55
30/10/2020,1.00,6.00,86.76
31/10/2020,1.00,6.00,88.99
01/11/2020,1.00,6.00,87.27
02/11/2020,1.00,6.00,86.53
03/11/2020,1.00,6.00,86.45
04/11/2020,1.00,6.00,86.78
05/11/2020,1.00,6.00,89.10
06/11/2020,1.00,6.00,88.97
07/11/2020,1.00,6.00,87.93
08/11/2020,1.00,6.00,88.49
09/11/2020,1.00,6.00,88.55
10/11/2020,1.00,6.00,88.44
11/11/2020,1.00,6.00,88.33
12/11/2020,1.00,6.00,88.89
13/11/2020,1.00,6.00,89.22
14/11/2020,1.00,6.00,88.84
15/11/2020,0.98,5.31,89.49
16/11/2020,0.90,3.00,90.01
17/11/2020,0.90,3.00,88.29
18/11/2020,0.90,3.00,87.93
19/11/2020,0.90,3.00,89.18
20/11/2020,0.90,3.00,88.76
21/11/2020,0.90,3.00,88.51
22/11/2020,0.90,3.00,88.64
23/11/2020,0.90,3.00,88.41
24/11/2020,0.90,3.00,87.83
25/11/2020,0.90,3.00,88.22
26/11/2020,0.90,3.00,88.68
27/11/2020,0.90,3.00,88.89
28/11/2020,0.90,3.00,89.14
29/11/2020,0.90,3.00,88.81
30/11/2020,0.90,3.00,88.65
01/12/2020,0.90,3.00,88.56
02/12/2020,0.90,3.00,88.14
03/12/2020,0.90,3.00,87.49
04/12/2020,0.90,3.00,88.68
05/12/2020,0.90,3.00,88.78
06/12/2020,0.90,3.00,88.36
07/12/2020,0.90,3.00,87.41
08/12/2020,0.90,3.00,85.32
09/12/2020,0.90,3.00,87.74
10/12/2020,0.90,3.00,88.22
11/12/2020,0.90,3.00,88.16
12/12/2020,0.90,3.00,87.75
13/12/2020,0.90,3.00,86.90
14/12/2020,0.90,3.00,87.11
15/12/2020,0.90,3.00,87.94
16/12/2020,0.90,3.00,87.89
17/12/2020,0.90,3.00,87.48
18/12/2020,0.90,3.00,88.05
19/12/2020,0.90,3.00,88.35
20/12/2020,0.90,3.46,88.38
21/12/2020,0.90,5.00,87.78
22/12/2020,0.90,5.00,87.53
23/12/2020,0.90,5.00,87.28
24/12/2020,0.90,5.00,86.84
25/12/2020,0.90,5.00,86.63
26/12/2020,0.90,5.00,86.05
27/12/2020,0.90,5.00,87.36
28/12/2020,0.90,5.00,88.72
29/12/2020,0.90,5.00,88.27
30/12/2020,0.90,5.00,87.90
31/12/2020,0.90,5.00,88.27
01/01/2021,0.90,5.00,87.19
02/01/2021,0.90,5.00,86.99
03/01/2021,0.90,3.94,86.82
04/01/2021,0.90,2.00,86.19
05/01/2021,0.90,2.00,86.13
06/01/2021,0.90,2.00,85.61
07/01/2021,0.90,2.00,85.29
08/01/2021,0.90,2.00,86.24
09/01/2021,0.90,2.00,86.48
10/01/2021,0.90,2.00,86.01
11/01/2021,0.90,2.00,86.00
12/01/2021,0.90,2.00,86.06
13/01/2021,0.90,2.00,85.36
14/01/2021,0.90,2.00,84.77
15/01/2021,0.90,2.00,86.25
16/01/2021,0.90,2.00,85.12
17/01/2021,0.90,2.71,85.41
18/01/2021,0.90,4.00,86.64
19/01/2021,0.90,4.00,88.20
20/01/2021,0.90,4.00,87.89
21/01/2021,0.90,4.00,91.49
22/01/2021,0.90,4.00,90.24
23/01/2021,0.90,4.00,89.55
24/01/2021,0.45,3.35,89.04
25/01/2021,0.20,3.00,88.61
26/01/2021,0.20,3.00,88.78
27/01/2021,0.20,3.00,88.79
28/01/2021,0.20,3.00,88.63
29/01/2021,0.20,3.00,89.11
30/01/2021,0.20,3.00,90.53
31/01/2021,0.20,3.00,90.63
01/02/2021,0.20,3.00,90.78
02/02/2021,0.20,3.00,90.49
03/02/2021,0.20,3.00,89.84
04/02/2021,0.20,3.00,89.97
05/02/2021,0.20,3.00,89.82
06/02/2021,0.20,3.00,89.62
07/02/2021,0.65,1.64,88.44
08/02/2021,0.90,0.90,90.07
09/02/2021,0.90,0.90,89.36
10/02/2021,0.90,0.90,86.00
11/02/2021,0.90,0.90,86.44
12/02/2021,0.90,0.90,86.49
13/02/2021,0.90,0.90,85.50
14/02/2021,0.90,0.90,86.23
15/02/2021,0.90,0.90,86.84
16/02/2021,0.90,0.90,86.04
17/02/2021,0.90,0.90,86.90
18/02/2021,0.90,0.90,87.79
19/02/2021,0.90,0.90,87.36
20/02/2021,0.90,0.90,85.78
21/02/2021,0.90,0.90,85.06
22/02/2021,0.90,2.02,84.75
23/02/2021,0.90,4.50,85.30
24/02/2021,0.90,4.50,85.23
25/02/2021,0.90,4.50,84.82
26/02/2021,0.90,4.50,84.29
27/02/2021,0.90,4.47,83.90
28/02/2021,0.90,3.00,83.83
01/03/2021,0.90,3.00,84.02
02/03/2021,0.90,3.00,84.60
03/03/2021,0.90,3.00,84.90
04/03/2021,0.90,3.00,84.77
05/03/2021,0.90,3.00,84.56
06/03/2021,0.90,3.00,83.71
07/03/2021,0.90,3.00,83.69
08/03/2021,0.90,3.00,83.69
09/03/2021,0.90,3.00,83.08
10/03/2021,0.90,3.00,85.99
11/03/2021,0.90,3.00,86.42
12/03/2021,0.90,3.00,85.77
13/03/2021,0.90,3.00,82.70
14/03/2021,0.90,3.00,83.47
15/03/2021,0.90,3.00,84.19
16/03/2021,0.90,3.00,83.87
17/03/2021,0.90,3.00,84.36
18/03/2021,0.90,3.00,84.80
19/03/2021,0.90,3.00,84.45
20/03/2021,0.90,3.00,84.19
21/03/2021,0.90,3.00,86.40
22/03/2021,0.90,3.00,86.27
23/03/2021,0.90,3.00,85.67
24/03/2021,0.90,3.00,84.65
25/03/2021,0.90,3.00,84.03
26/03/2021,0.90,3.00,83.56
27/03/2021,0.69,3.46,83.52
28/03/2021,0.00,5.00,85.36
29/03/2021,0.00,5.00,85.38
30/03/2021,0.00,5.00,83.99
31/03/2021,0.00,5.00,81.40
01/04/2021,0.00,5.00,79.83
02/04/2021,0.00,5.00,79.42
03/04/2021,0.00,4.09,81.15
04/04/2021,0.00,1.00,82.95
05/04/2021,0.00,1.00,84.65
06/04/2021,0.00,1.00,87.09
07/04/2021,0.00,1.00,87.46
08/04/2021,0.00,1.00,87.03
09/04/2021,0.00,1.00,84.95
10/04/2021,0.00,1.52,84.92
11/04/2021,0.00,2.00,85.05
12/04/2021,0.00,2.00,85.29
13/04/2021,0.00,2.00,85.44
14/04/2021,0.00,2.00,86.52
15/04/2021,0.00,2.00,86.03
16/04/2021,0.00,2.00,85.01
17/04/2021,0.00,2.56,83.86
18/04/2021,0.00,5.00,83.83
19/04/2021,0.00,5.00,83.68
20/04/2021,0.00,5.00,83.74
21/04/2021,0.00,5.00,83.94
22/04/2021,0.00,5.00,83.67
23/04/2021,0.00,5.00,83.68
24/04/2021,0.17,5.56,83.57
25/04/2021,0.90,8.00,83.51
26/04/2021,0.90,8.00,85.09
27/04/2021,0.90,8.00,86.12
28/04/2021,0.90,8.00,85.62
29/04/2021,0.90,8.00,84.99
30/04/2021,0.90,8.00,84.95
01/05/2021,0.90,8.00,84.66
02/05/2021,0.90,8.00,84.70
03/05/2021,0.90,8.00,84.65
04/05/2021,0.90,8.00,84.66
05/05/2021,0.90,7.44,84.93
06/05/2021,0.90,4.44,85.78
07/05/2021,0.90,2.00,86.68
08/05/2021,0.90,2.56,85.21
09/05/2021,0.90,5.00,83.51
10/05/2021,0.90,5.00,83.22
11/05/2021,0.90,5.00,84.14
12/05/2021,0.90,5.00,84.60
13/05/2021,0.90,5.00,84.76
14/05/2021,0.90,5.00,85.08
15/05/2021,0.92,5.00,85.04
16/05/2021,1.00,5.00,85.23
17/05/2021,1.00,5.00,84.73
18/05/2021,1.00,5.00,84.93
19/05/2021,1.00,5.00,84.00
20/05/2021,1.00,5.00,83.48
21/05/2021,1.00,5.00,83.49
22/05/2021,0.81,4.81,84.38
23/05/2021,0.00,4.00,85.49
24/05/2021,0.00,4.00,85.05
25/05/2021,0.00,4.00,84.34
26/05/2021,0.00,4.00,84.12
27/05/2021,0.00,4.00,84.46
28/05/2021,0.00,4.00,84.39
29/05/2021,0.23,3.54,84.13
30/05/2021,1.00,2.00,83.79
31/05/2021,1.00,2.00,82.90
01/06/2021,1.00,2.00,82.64
02/06/2021,1.00,2.00,83.44
03/06/2021,1.00,2.00,83.59
04/06/2021,1.00,2.00,83.56
05/06/2021,0.65,2.71,83.66
06/06/2021,0.00,4.00,83.79
07/06/2021,0.00,4.00,83.80
08/06/2021,0.00,4.00,83.83
09/06/2021,0.00,4.00,82.45
10/06/2021,0.00,4.00,85.28
11/06/2021,0.00,4.00,85.34
12/06/2021,0.32,4.71,84.90
13/06/2021,0.90,6.00,85.03
14/06/2021,0.90,6.00,85.05
15/06/2021,0.90,6.00,85.21
16/06/2021,0.90,6.00,85.36
17/06/2021,0.90,6.00,85.31
18/06/2021,0.90,6.00,85.21
19/06/2021,0.90,6.00,85.33
20/06/2021,0.90,6.00,85.31
21/06/2021,0.90,6.00,85.01
22/06/2021,0.90,6.00,85.90
23/06/2021,0.90,6.00,85.12
24/06/2021,0.90,6.00,84.79
25/06/2021,0.90,6.00,84.58
26/06/2021,0.94,6.00,84.65
27/06/2021,1.00,6.00,84.84
28/06/2021,1.00,6.00,84.58
29/06/2021,1.00,6.00,84.61
30/06/2021,1.00,6.00,84.66
01/07/2021,1.00,6.00,84.90
02/07/2021,1.00,6.00,85.37
03/07/2021,1.00,6.00,85.14
04/07/2021,1.00,6.00,84.57
05/07/2021,1.00,6.00,84.80
06/07/2021,1.00,6.00,85.34
07/07/2021,1.00,6.00,85.50
08/07/2021,1.00,6.00,85.91
09/07/2021,1.00,6.00,86.99
10/07/2021,0.68,5.65,86.84
11/07/2021,0.09,5.00,87.03
12/07/2021,0.09,5.00,86.88
13/07/2021,0.09,5.00,86.02
14/07/2021,0.09,5.00,85.93
15/07/2021,0.09,5.00,86.19
16/07/2021,0.09,5.00,86.18
17/07/2021,0.41,5.00,86.16
18/07/2021,1.00,5.00,85.96
19/07/2021,1.00,5.00,85.88
20/07/2021,1.00,5.00,85.45
21/07/2021,1.00,5.00,84.81
22/07/2021,1.00,5.00,84.64
23/07/2021,1.00,5.00,84.40
24/07/2021,1.00,4.77,84.94
25/07/2021,1.00,4.00,84.90
26/07/2021,1.00,4.00,84.86
27/07/2021,1.00,4.00,85.72
28/07/2021,1.00,4.00,85.91
29/07/2021,1.00,4.00,85.74
30/07/2021,0.77,3.77,85.51
31/07/2021,0.00,3.00,85.75
01/08/2021,0.00,3.00,85.45
02/08/2021,0.00,3.00,85.19
03/08/2021,0.00,3.00,85.17
04/08/2021,0.00,3.00,85.10
05/08/2021,0.00,3.00,85.52
06/08/2021,0.00,3.00,85.44
07/08/2021,0.23,3.69,85.59
08/08/2021,1.00,6.00,85.61
09/08/2021,1.00,6.00,85.63
10/08/2021,1.00,6.00,86.63
11/08/2021,1.00,6.00,87.08
12/08/2021,1.00,6.00,86.25
13/08/2021,1.00,6.00,85.76
14/08/2021,1.00,5.09,85.05
15/08/2021,1.00,2.00,85.07
16/08/2021,1.00,2.00,85.25
17/08/2021,1.00,2.00,85.63
18/08/2021,1.00,2.00,86.10
19/08/2021,1.00,2.00,85.09
20/08/2021,1.00,2.00,86.98
21/08/2021,1.00,2.91,86.93
22/08/2021,1.00,6.00,86.91
23/08/2021,1.00,6.00,86.77
24/08/2021,1.00,6.00,86.46
25/08/2021,1.00,6.00,86.62
26/08/2021,1.00,6.00,86.86
27/08/2021,1.00,6.00,86.73
28/08/2021,0.77,5.54,86.47
29/08/2021,0.00,4.00,86.08
30/08/2021,0.00,4.00,85.86
31/08/2021,0.00,4.00,85.99
01/09/2021,0.00,4.00,85.62
02/09/2021,0.00,4.00,83.36
03/09/2021,0.00,4.00,83.06
04/09/2021,0.00,2.71,82.87
05/09/2021,0.00,2.00,82.69
06/09/2021,0.00,2.00,82.63
07/09/2021,0.00,2.00,82.54
08/09/2021,0.00,2.00,82.47
09/09/2021,0.00,2.00,82.33
10/09/2021,0.00,2.00,83.45
11/09/2021,0.00,1.35,85.04
12/09/2021,0.00,1.00,84.91
13/09/2021,0.00,1.00,84.64
14/09/2021,0.00,1.00,83.65
15/09/2021,0.00,1.00,82.82
16/09/2021,0.00,1.00,82.35
17/09/2021,0.00,1.00,84.39
18/09/2021,0.00,4.23,84.49
19/09/2021,0.00,6.00,84.80
20/09/2021,0.00,6.00,85.02
21/09/2021,0.00,6.00,87.34
