Date,BZ_rate(kg/h)
1/1/2019 9:26 AM,5770.21
1/2/2019 9:26 AM,5546.23
1/3/2019 9:26 AM,5662.21
1/4/2019 9:26 AM,5110.25
1/5/2019 9:26 AM,-0.39
1/6/2019 9:26 AM,-0.4
1/7/2019 9:26 AM,-0.37
1/8/2019 9:26 AM,4051.18
1/9/2019 9:26 AM,5358.46
1/10/2019 9:26 AM,5567.93
1/11/2019 9:26 AM,6003.9
1/12/2019 9:26 AM,6026.87
1/13/2019 9:26 AM,5926.5
1/14/2019 9:26 AM,5361.55
1/15/2019 9:26 AM,5605.19
1/16/2019 9:26 AM,1870.85
1/17/2019 9:26 AM,-0.49
1/18/2019 9:26 AM,5015.23
1/19/2019 9:26 AM,4973.28
1/20/2019 9:26 AM,5286.67
1/21/2019 9:26 AM,5165.18
1/22/2019 9:26 AM,-0.49
1/23/2019 9:26 AM,-0.43
1/24/2019 9:26 AM,-0.38
1/25/2019 9:26 AM,-0.39
1/26/2019 9:26 AM,-0.42
1/27/2019 9:26 AM,-0.43
1/28/2019 9:26 AM,-0.43
1/29/2019 9:26 AM,-0.41
1/30/2019 9:26 AM,-0.49
1/31/2019 9:26 AM,-0.45
2/1/2019 9:26 AM,-0.4
2/2/2019 9:26 AM,-0.49
2/3/2019 9:26 AM,-0.48
2/4/2019 9:26 AM,-0.45
2/5/2019 9:26 AM,-0.51
2/6/2019 9:26 AM,-0.45
2/7/2019 9:26 AM,-0.49
2/8/2019 9:26 AM,-0.51
2/9/2019 9:26 AM,-0.52
2/10/2019 9:26 AM,-0.52
2/11/2019 9:26 AM,-0.49
2/12/2019 9:26 AM,-0.48
2/13/2019 9:26 AM,-0.5
2/14/2019 9:26 AM,-0.51
2/15/2019 9:26 AM,-0.46
2/16/2019 9:26 AM,-0.41
2/17/2019 9:26 AM,-0.5
2/18/2019 9:26 AM,-0.45
2/19/2019 9:26 AM,-0.44
2/20/2019 9:26 AM,-0.51
2/21/2019 9:26 AM,3315.93
2/22/2019 9:26 AM,4778.04
2/23/2019 9:26 AM,4695.13
2/24/2019 9:26 AM,4546.04
2/25/2019 9:26 AM,5013.92
2/26/2019 9:26 AM,3928.73
2/27/2019 9:26 AM,3801.69
2/28/2019 9:26 AM,5454.78
3/1/2019 9:26 AM,7346.05
3/2/2019 9:26 AM,7114.73
3/3/2019 9:26 AM,6526.67
3/4/2019 9:26 AM,6744.07
3/5/2019 9:26 AM,7111.48
3/6/2019 9:26 AM,6285.23
3/7/2019 9:26 AM,398.81
3/8/2019 9:26 AM,-0.46
3/9/2019 9:26 AM,-0.54
3/10/2019 9:26 AM,-0.47
3/11/2019 9:26 AM,-0.51
3/12/2019 9:26 AM,-0.56
3/13/2019 9:26 AM,-0.49
3/14/2019 9:26 AM,-0.49
3/15/2019 9:26 AM,-0.52
3/16/2019 9:26 AM,-0.51
3/17/2019 9:26 AM,-0.57
3/18/2019 9:26 AM,-0.54
3/19/2019 9:26 AM,-0.57
3/20/2019 9:26 AM,-0.56
3/21/2019 9:26 AM,-0.52
3/22/2019 9:26 AM,-0.53
3/23/2019 9:26 AM,-0.54
3/24/2019 9:26 AM,-0.51
3/25/2019 9:26 AM,4113.02
3/26/2019 9:26 AM,4821.68
3/27/2019 9:26 AM,5036.14
3/28/2019 9:26 AM,5355
3/29/2019 9:26 AM,5548.49
3/30/2019 9:26 AM,5752.21
3/31/2019 9:26 AM,5730.97
4/1/2019 9:26 AM,5253.39
4/2/2019 9:26 AM,5259.28
4/3/2019 9:26 AM,5627.91
4/4/2019 9:26 AM,5440.27
4/5/2019 9:26 AM,5318.81
4/6/2019 9:26 AM,5558.54
4/7/2019 9:26 AM,5667.5
4/8/2019 9:26 AM,524.32
4/9/2019 9:26 AM,5440.75
4/10/2019 9:26 AM,6657.72
4/11/2019 9:26 AM,6301.27
4/12/2019 9:26 AM,5882.51
4/13/2019 9:26 AM,5819.12
4/14/2019 9:26 AM,5883.18
4/15/2019 9:26 AM,5853.45
4/16/2019 9:26 AM,5954.08
4/17/2019 9:26 AM,5943.67
4/18/2019 9:26 AM,5975.06
4/19/2019 9:26 AM,5912.58
4/20/2019 9:26 AM,5737.67
4/21/2019 9:26 AM,5826.4
4/22/2019 9:26 AM,5287.03
4/23/2019 9:26 AM,5288.81
4/24/2019 9:26 AM,5415.79
4/25/2019 9:26 AM,5360.79
4/26/2019 9:26 AM,5316.45
4/27/2019 9:26 AM,5222.16
4/28/2019 9:26 AM,5195.56
4/29/2019 9:26 AM,5216.81
4/30/2019 9:26 AM,5013.44
5/1/2019 9:26 AM,5347
5/2/2019 9:26 AM,5458.6
5/3/2019 9:26 AM,5267.09
5/4/2019 9:26 AM,5197.63
5/5/2019 9:26 AM,3820.98
5/6/2019 9:26 AM,-0.59
5/7/2019 9:26 AM,4601.09
5/8/2019 9:26 AM,5292.61
5/9/2019 9:26 AM,5278.9
5/10/2019 9:26 AM,5346.54
5/11/2019 9:26 AM,5311.24
5/12/2019 9:26 AM,5333.21
5/13/2019 9:26 AM,5564.93
5/14/2019 9:26 AM,5457.21
5/15/2019 9:26 AM,5447.01
5/16/2019 9:26 AM,5580.13
5/17/2019 9:26 AM,6006.99
5/18/2019 9:26 AM,6065.53
5/19/2019 9:26 AM,6184.09
5/20/2019 9:26 AM,6230.79
5/21/2019 9:26 AM,6782.14
5/22/2019 9:26 AM,7056.21
5/23/2019 9:26 AM,7022.22
5/24/2019 9:26 AM,6774.63
5/25/2019 9:26 AM,6837
5/26/2019 9:26 AM,6845.15
5/27/2019 9:26 AM,6861.84
5/28/2019 9:26 AM,6827.25
5/29/2019 9:26 AM,6850.75
5/30/2019 9:26 AM,7100.68
5/31/2019 9:26 AM,7086.16
6/1/2019 9:26 AM,6981.2
6/2/2019 9:26 AM,6738.07
6/3/2019 9:26 AM,6823.92
6/4/2019 9:26 AM,6841.09
6/5/2019 9:26 AM,6521.28
6/6/2019 9:26 AM,6447.98
6/7/2019 9:26 AM,6336.33
6/8/2019 9:26 AM,6537.22
6/9/2019 9:26 AM,6478.21
6/10/2019 9:26 AM,6517.4
6/11/2019 9:26 AM,6496.36
6/12/2019 9:26 AM,6492.83
6/13/2019 9:26 AM,6287.41
6/14/2019 9:26 AM,6168.41
6/15/2019 9:26 AM,6197.25
6/16/2019 9:26 AM,6126.04
6/17/2019 9:26 AM,5992.6
6/18/2019 9:26 AM,5996.13
6/19/2019 9:26 AM,5838.25
6/20/2019 9:26 AM,5812.26
6/21/2019 9:26 AM,5855.8
6/22/2019 9:26 AM,5899.26
6/23/2019 9:26 AM,5843.39
6/24/2019 9:26 AM,5868.63
6/25/2019 9:26 AM,5880.12
6/26/2019 9:26 AM,5853.83
6/27/2019 9:26 AM,5466.57
6/28/2019 9:26 AM,5529.62
6/29/2019 9:26 AM,5492.83
6/30/2019 9:26 AM,5382.65
7/1/2019 9:26 AM,5373.71
7/2/2019 9:26 AM,5410.48
7/3/2019 9:26 AM,4976.54
7/4/2019 9:26 AM,5200.27
7/5/2019 9:26 AM,1530.96
7/6/2019 9:26 AM,-0.56
7/7/2019 9:26 AM,-0.62
7/8/2019 9:26 AM,-0.58
7/9/2019 9:26 AM,-0.59
7/10/2019 9:26 AM,-0.58
7/11/2019 9:26 AM,-0.6
7/12/2019 9:26 AM,-0.62
7/13/2019 9:26 AM,-0.6
7/14/2019 9:26 AM,-0.61
7/15/2019 9:26 AM,-0.49
7/16/2019 9:26 AM,-0.53
7/17/2019 9:26 AM,-0.59
7/18/2019 9:26 AM,-0.57
7/19/2019 9:26 AM,-0.64
7/20/2019 9:26 AM,-0.58
7/21/2019 9:26 AM,-0.63
7/22/2019 9:26 AM,-0.6
7/23/2019 9:26 AM,-0.65
7/24/2019 9:26 AM,3278.54
7/25/2019 9:26 AM,4382.47
7/26/2019 9:26 AM,4714.56
7/27/2019 9:26 AM,4220.05
7/28/2019 9:26 AM,4251.53
7/29/2019 9:26 AM,4164.31
7/30/2019 9:26 AM,4245.12
7/31/2019 9:26 AM,4201.99
8/1/2019 9:26 AM,4685.27
8/2/2019 9:26 AM,4900.71
8/3/2019 9:26 AM,5177.38
8/4/2019 9:26 AM,4964
8/5/2019 9:26 AM,4663.84
8/6/2019 9:26 AM,4612.84
8/7/2019 9:26 AM,4771.3
8/8/2019 9:26 AM,4817.4
8/9/2019 9:26 AM,5084.4
8/10/2019 9:26 AM,5269.89
8/11/2019 9:26 AM,5119.05
8/12/2019 9:26 AM,5096.82
8/13/2019 9:26 AM,4977.81
8/14/2019 9:26 AM,4826.91
8/15/2019 9:26 AM,4798.24
8/16/2019 9:26 AM,4743.79
8/17/2019 9:26 AM,4854.63
8/18/2019 9:26 AM,4874.98
8/19/2019 9:26 AM,4822.61
8/20/2019 9:26 AM,2843.56
8/21/2019 9:26 AM,1774.14
8/22/2019 9:26 AM,4918.95
8/23/2019 9:26 AM,4995.49
8/24/2019 9:26 AM,5065.7
8/25/2019 9:26 AM,4759.77
8/26/2019 9:26 AM,5355.23
8/27/2019 9:26 AM,6759.07
8/28/2019 9:26 AM,6200.62
8/29/2019 9:26 AM,2378.68
8/30/2019 9:26 AM,5524.28
8/31/2019 9:26 AM,5756.71
9/1/2019 9:26 AM,5957.06
9/2/2019 9:26 AM,5791.59
9/3/2019 9:26 AM,5891.27
9/4/2019 9:26 AM,5956.88
9/5/2019 9:26 AM,3660.65
9/6/2019 9:26 AM,2050.98
9/7/2019 9:26 AM,5889.59
9/8/2019 9:26 AM,3574.7
9/9/2019 9:26 AM,2229.66
9/10/2019 9:26 AM,6021.89
9/11/2019 9:26 AM,5525.64
9/12/2019 9:26 AM,4973.77
9/13/2019 9:26 AM,3083.72
9/14/2019 9:26 AM,1801.77
9/15/2019 9:26 AM,4901.81
9/16/2019 9:26 AM,4937.04
9/17/2019 9:26 AM,2868.81
9/18/2019 9:26 AM,1888.15
9/19/2019 9:26 AM,5228.41
9/20/2019 9:26 AM,5307.06
9/21/2019 9:26 AM,3195.68
9/22/2019 9:26 AM,1777.39
9/23/2019 9:26 AM,5162.51
9/24/2019 9:26 AM,5028.74
9/25/2019 9:26 AM,4957.86
9/26/2019 9:26 AM,3088.74
9/27/2019 9:26 AM,1853.57
9/28/2019 9:26 AM,5016.68
9/29/2019 9:26 AM,4942.02
9/30/2019 9:26 AM,5110.96
10/1/2019 9:26 AM,4983.32
10/2/2019 9:26 AM,4924.43
10/3/2019 9:26 AM,4830.99
10/4/2019 9:26 AM,2818.97
10/5/2019 9:26 AM,1601.14
10/6/2019 9:26 AM,4457.61
10/7/2019 9:26 AM,4475.24
10/8/2019 9:26 AM,4401.37
10/9/2019 9:26 AM,4421.53
10/10/2019 9:26 AM,4539.26
10/11/2019 9:26 AM,4608.12
10/12/2019 9:26 AM,300.02
10/13/2019 9:26 AM,4046.59
10/14/2019 9:26 AM,4467.81
10/15/2019 9:26 AM,4405.73
10/16/2019 9:26 AM,4375.7
10/17/2019 9:26 AM,150.91
10/18/2019 9:26 AM,-0.58
10/19/2019 9:26 AM,-0.69
10/20/2019 9:26 AM,-0.59
10/21/2019 9:26 AM,4835.07
10/22/2019 9:26 AM,5644.34
10/23/2019 9:26 AM,5655.74
10/24/2019 9:26 AM,5693.73
10/25/2019 9:26 AM,5718.46
10/26/2019 9:26 AM,5911.51
10/27/2019 9:26 AM,1042.24
10/28/2019 9:26 AM,6023.97
10/29/2019 9:26 AM,6214.17
10/30/2019 9:26 AM,5707.62
10/31/2019 9:26 AM,5230.67
11/1/2019 9:26 AM,5660.01
11/2/2019 9:26 AM,665.18
11/3/2019 9:26 AM,423.34
11/4/2019 9:26 AM,6195.88
11/5/2019 9:26 AM,6127.3
11/6/2019 9:26 AM,6184.47
11/7/2019 9:26 AM,6184.3
11/8/2019 9:26 AM,6204.36
11/9/2019 9:26 AM,645.65
11/10/2019 9:26 AM,5478.06
11/11/2019 9:26 AM,6204.06
11/12/2019 9:26 AM,6199.67
11/13/2019 9:26 AM,6200.04
11/14/2019 9:26 AM,6164.37
11/15/2019 9:26 AM,5809.34
11/16/2019 9:26 AM,3017.16
11/17/2019 9:26 AM,-0.55
11/18/2019 9:26 AM,-0.68
11/19/2019 9:26 AM,4715.86
11/20/2019 9:26 AM,5665.72
11/21/2019 9:26 AM,3489.58
11/22/2019 9:26 AM,-0.6
11/23/2019 9:26 AM,4852.13
11/24/2019 9:26 AM,3581.8
11/25/2019 9:26 AM,187.6
11/26/2019 9:26 AM,5672.29
11/27/2019 9:26 AM,5669.15
11/28/2019 9:26 AM,5643.27
11/29/2019 9:26 AM,5676
11/30/2019 9:26 AM,1107.97
12/1/2019 9:26 AM,-0.62
12/2/2019 9:26 AM,-0.51
12/3/2019 9:26 AM,-0.55
12/4/2019 9:26 AM,-0.44
12/5/2019 9:26 AM,1281.42
12/6/2019 9:26 AM,3314.87
12/7/2019 9:26 AM,-0.47
12/8/2019 9:26 AM,-0.43
12/9/2019 9:26 AM,-0.47
12/10/2019 9:26 AM,-0.5
12/11/2019 9:26 AM,-0.42
12/12/2019 9:26 AM,-0.48
12/13/2019 9:26 AM,-0.53
12/14/2019 9:26 AM,-0.52
12/15/2019 9:26 AM,-0.58
12/16/2019 9:26 AM,-0.63
12/17/2019 9:26 AM,-0.48
12/18/2019 9:26 AM,-0.56
12/19/2019 9:26 AM,-0.59
12/20/2019 9:26 AM,-0.52
12/21/2019 9:26 AM,-0.61
12/22/2019 9:26 AM,-0.59
12/23/2019 9:26 AM,-0.62
12/24/2019 9:26 AM,-0.62
12/25/2019 9:26 AM,-0.59
12/26/2019 9:26 AM,-0.54
12/27/2019 9:26 AM,-0.57
12/28/2019 9:26 AM,-0.53
12/29/2019 9:26 AM,-0.58
12/30/2019 9:26 AM,-0.59
12/31/2019 9:26 AM,-0.6
1/1/2020 9:26 AM,-0.64
1/2/2020 9:26 AM,-0.55
1/3/2020 9:26 AM,-0.52
1/4/2020 9:26 AM,-0.6
1/5/2020 9:26 AM,-0.49
1/6/2020 9:26 AM,-0.6
1/7/2020 9:26 AM,2714.94
1/8/2020 9:26 AM,3290.7
1/9/2020 9:26 AM,3114.91
1/10/2020 9:26 AM,2562.34
1/11/2020 9:26 AM,2299.76
1/12/2020 9:26 AM,2676.59
1/13/2020 9:26 AM,1078.15
1/14/2020 9:26 AM,-0.63
1/15/2020 9:26 AM,-0.6
1/16/2020 9:26 AM,-0.63
1/17/2020 9:26 AM,-0.69
1/18/2020 9:26 AM,-0.63
1/19/2020 9:26 AM,-0.61
1/20/2020 9:26 AM,-0.68
1/21/2020 9:26 AM,-0.59
1/22/2020 9:26 AM,-0.58
1/23/2020 9:26 AM,-0.67
1/24/2020 9:26 AM,-0.64
1/25/2020 9:26 AM,-0.66
1/26/2020 9:26 AM,-0.68
1/27/2020 9:26 AM,-0.54
1/28/2020 9:26 AM,-0.01
1/29/2020 9:26 AM,0.2
1/30/2020 9:26 AM,0.11
1/31/2020 9:26 AM,0.02
2/1/2020 9:26 AM,-0.07
2/2/2020 9:26 AM,-0.17
2/3/2020 9:26 AM,-0.35
2/4/2020 9:26 AM,-0.4
2/5/2020 9:26 AM,-0.41
2/6/2020 9:26 AM,-0.41
2/7/2020 9:26 AM,-0.37
2/8/2020 9:26 AM,-0.4
2/9/2020 9:26 AM,-0.41
2/10/2020 9:26 AM,-0.4
2/11/2020 9:26 AM,-0.41
2/12/2020 9:26 AM,-0.4
2/13/2020 9:26 AM,-0.42
2/14/2020 9:26 AM,-0.43
2/15/2020 9:26 AM,-0.44
2/16/2020 9:26 AM,-0.39
2/17/2020 9:26 AM,3742.39
2/18/2020 9:26 AM,4574.55
2/19/2020 9:26 AM,4679.28
2/20/2020 9:26 AM,5126.13
2/21/2020 9:26 AM,5231.78
2/22/2020 9:26 AM,5564.84
2/23/2020 9:26 AM,5515.12
2/24/2020 9:26 AM,5039.59
2/25/2020 9:26 AM,5184.63
2/26/2020 9:26 AM,5452.46
2/27/2020 9:26 AM,5007.17
2/28/2020 9:26 AM,727.1
2/29/2020 9:26 AM,5253.2
3/1/2020 9:26 AM,5170.33
3/2/2020 9:26 AM,5331.44
3/3/2020 9:26 AM,5476.12
3/4/2020 9:26 AM,4941.98
3/5/2020 9:26 AM,5243.2
3/6/2020 9:26 AM,5315.19
3/7/2020 9:26 AM,4621.04
3/8/2020 9:26 AM,2123.13
3/9/2020 9:26 AM,3836.06
3/10/2020 9:26 AM,5005.32
3/11/2020 9:26 AM,5131.04
3/12/2020 9:26 AM,5049.99
3/13/2020 9:26 AM,4940.44
3/14/2020 9:26 AM,5449.31
3/15/2020 9:26 AM,5488.93
3/16/2020 9:26 AM,5695.74
3/17/2020 9:26 AM,5308.62
3/18/2020 9:26 AM,5082.27
3/19/2020 9:26 AM,5321.34
3/20/2020 9:26 AM,5220.16
3/21/2020 9:26 AM,5131.36
3/22/2020 9:26 AM,5155.1
3/23/2020 9:26 AM,5141.43
3/24/2020 9:26 AM,4945.66
3/25/2020 9:26 AM,4966.2
3/26/2020 9:26 AM,4903.64
3/27/2020 9:26 AM,4863.99
3/28/2020 9:26 AM,4857.42
3/29/2020 9:26 AM,5086.46
3/30/2020 9:26 AM,2978.97
3/31/2020 9:26 AM,4062.08
4/1/2020 9:26 AM,4302.69
4/2/2020 9:26 AM,4136.49
4/3/2020 9:26 AM,578.2
4/4/2020 9:26 AM,-0.44
4/5/2020 9:26 AM,-0.45
4/6/2020 9:26 AM,-0.44
4/7/2020 9:26 AM,-0.42
4/8/2020 9:26 AM,-0.43
4/9/2020 9:26 AM,-0.43
4/10/2020 9:26 AM,-0.39
4/11/2020 9:26 AM,-0.44
4/12/2020 9:26 AM,-0.42
4/13/2020 9:26 AM,-0.32
4/14/2020 9:26 AM,1456.33
4/15/2020 9:26 AM,4476.3
4/16/2020 9:26 AM,4720.06
4/17/2020 9:26 AM,4410.22
4/18/2020 9:26 AM,4310.45
4/19/2020 9:26 AM,4179
4/20/2020 9:26 AM,3924.6
4/21/2020 9:26 AM,509.03
4/22/2020 9:26 AM,3322.57
4/23/2020 9:26 AM,3790.39
4/24/2020 9:26 AM,3657.56
4/25/2020 9:26 AM,3691.27
4/26/2020 9:26 AM,3860.45
4/27/2020 9:26 AM,3961.92
4/28/2020 9:26 AM,4005.75
